Region,Source,Year,Data,Unit
ON,Oil and Diesel,2009,152.2384,GW.h
ON,Hydro,2010,32555,GW.h
ON,Wind,2010,2800,GW.h
ON,Biomass,2010,877.6,GW.h
ON,Solar,2010,123,GW.h
ON,Nuclear,2010,81975,GW.h
ON,Coal,2010,13852,GW.h
ON,Natural Gas,2010,17499.6,GW.h
ON,Oil and Diesel,2010,46.8128,GW.h
ON,Hydro,2011,34907,GW.h
ON,Wind,2011,3900,GW.h
ON,Biomass,2011,841.4,GW.h
ON,Solar,2011,398,GW.h
ON,Nuclear,2011,84766,GW.h
ON,Coal,2011,4402,GW.h
ON,Natural Gas,2011,24872.1,GW.h
ON,Oil and Diesel,2011,30.3553,GW.h
ON,Hydro,2012,33887,GW.h
ON,Wind,2012,4600,GW.h
ON,Biomass,2012,910.2,GW.h
ON,Solar,2012,842,GW.h
ON,Nuclear,2012,84866,GW.h
ON,Coal,2012,4788,GW.h
ON,Natural Gas,2012,23974.1,GW.h
ON,Oil and Diesel,2012,40.7134,GW.h
ON,Hydro,2013,37936,GW.h
ON,Wind,2013,5200,GW.h
ON,Biomass,2013,920.3,GW.h
ON,Solar,2013,1173,GW.h
ON,Nuclear,2013,93103,GW.h
ON,Coal,2013,3566,GW.h
ON,Natural Gas,2013,19112.2,GW.h
ON,Oil and Diesel,2013,38.8696,GW.h
ON,Hydro,2014,39199,GW.h
ON,Wind,2014,6800,GW.h
ON,Biomass,2014,798.9,GW.h
ON,Solar,2014,1816,GW.h
ON,Nuclear,2014,96196,GW.h
ON,Coal,2014,35,GW.h
ON,Natural Gas,2014,16316.7,GW.h
ON,Oil and Diesel,2014,99.4439,GW.h
ON,Hydro,2015,35359,GW.h
ON,Wind,2015,10200,GW.h
ON,Biomass,2015,817.5,GW.h
ON,Solar,2015,3001,GW.h
ON,Nuclear,2015,91405,GW.h
ON,Coal,2015,0,GW.h
ON,Natural Gas,2015,19403,GW.h
ON,Oil and Diesel,2015,236.8442,GW.h
ON,Hydro,2016,35288.129,GW.h
ON,Wind,2016,12122.887,GW.h
ON,Biomass,2016,1127.762,GW.h
ON,Solar,2016,3566.253,GW.h
ON,Nuclear,2016,90873.275,GW.h
ON,Coal,2016,0,GW.h
ON,Natural Gas,2016,12858.638,GW.h
ON,Oil and Diesel,2016,108.591,GW.h
QC,Hydro,2005,173356,GW.h
QC,Wind,2005,416,GW.h
QC,Biomass,2005,646,GW.h
QC,Solar,2005,0,GW.h
QC,Nuclear,2005,4321.577,GW.h
QC,Coal,2005,0,GW.h
QC,Natural Gas,2005,269,GW.h
QC,Oil and Diesel,2005,823.5,GW.h
QC,Hydro,2006,172591,GW.h
QC,Wind,2006,419,GW.h
QC,Biomass,2006,646,GW.h
QC,Solar,2006,0,GW.h
QC,Nuclear,2006,4321.577,GW.h
QC,Coal,2006,0,GW.h
QC,Natural Gas,2006,1326,GW.h
QC,Oil and Diesel,2006,400.9,GW.h
QC,Hydro,2007,181100,GW.h
QC,Wind,2007,617,GW.h
QC,Biomass,2007,646,GW.h
QC,Solar,2007,0,GW.h
QC,Nuclear,2007,4321.577,GW.h
QC,Coal,2007,0,GW.h
QC,Natural Gas,2007,3945,GW.h
QC,Oil and Diesel,2007,703.7,GW.h
QC,Hydro,2008,187891,GW.h
QC,Wind,2008,565,GW.h
QC,Biomass,2008,439,GW.h
QC,Solar,2008,0,GW.h
QC,Nuclear,2008,3624.231,GW.h
QC,Coal,2008,0,GW.h
QC,Natural Gas,2008,228,GW.h
QC,Oil and Diesel,2008,554.3,GW.h
QC,Hydro,2009,189423,GW.h
QC,Wind,2009,1322,GW.h
QC,Biomass,2009,550,GW.h
QC,Solar,2009,0,GW.h
QC,Nuclear,2009,3596.279,GW.h
QC,Coal,2009,0,GW.h
QC,Natural Gas,2009,264,GW.h
QC,Oil and Diesel,2009,778.7,GW.h
QC,Hydro,2010,177410,GW.h
QC,Wind,2010,1547,GW.h
QC,Biomass,2010,844,GW.h
QC,Solar,2010,0,GW.h
QC,Nuclear,2010,3551.588,GW.h
QC,Coal,2010,0,GW.h
QC,Natural Gas,2010,227,GW.h
QC,Oil and Diesel,2010,587.6,GW.h
QC,Hydro,2011,189692,GW.h
QC,Wind,2011,1400,GW.h
QC,Biomass,2011,1089,GW.h
QC,Solar,2011,0,GW.h
QC,Nuclear,2011,3525.216,GW.h
QC,Coal,2011,0,GW.h
QC,Natural Gas,2011,217,GW.h
QC,Oil and Diesel,2011,546,GW.h
QC,Hydro,2012,191972,GW.h
QC,Wind,2012,2562,GW.h
QC,Biomass,2012,1233,GW.h
QC,Solar,2012,0,GW.h
QC,Nuclear,2012,4212.618,GW.h
QC,Coal,2012,0,GW.h
QC,Natural Gas,2012,228,GW.h
QC,Oil and Diesel,2012,518.5,GW.h
QC,Hydro,2013,202530,GW.h
QC,Wind,2013,4721,GW.h
QC,Biomass,2013,1614,GW.h
QC,Solar,2013,0,GW.h
QC,Nuclear,2013,0,GW.h
QC,Coal,2013,0,GW.h
QC,Natural Gas,2013,150,GW.h
QC,Oil and Diesel,2013,474.9,GW.h
QC,Hydro,2014,197207,GW.h
QC,Wind,2014,6650,GW.h
QC,Biomass,2014,1724,GW.h
QC,Solar,2014,0,GW.h
QC,Nuclear,2014,0,GW.h
QC,Coal,2014,0,GW.h
QC,Natural Gas,2014,117,GW.h
QC,Oil and Diesel,2014,798.7,GW.h
QC,Hydro,2015,194540,GW.h
QC,Wind,2015,8938,GW.h
QC,Biomass,2015,2052.898,GW.h
QC,Solar,2015,0,GW.h
